
Start of Korat Execution for Line (repOK, [10])

slope: 0.0, yintercept: 0.0, epsilon:0.0
slope: 8.0, yintercept: 3.0, epsilon:0.0
slope: 8.0, yintercept: 4.0, epsilon:0.0
slope: 8.0, yintercept: 5.0, epsilon:0.0
slope: 8.0, yintercept: 6.0, epsilon:0.0
slope: 8.0, yintercept: 7.0, epsilon:0.0
slope: 8.0, yintercept: 8.0, epsilon:0.0
slope: 8.0, yintercept: 9.0, epsilon:0.0
slope: 8.0, yintercept: 10.0, epsilon:0.0
slope: 9.0, yintercept: 0.0, epsilon:0.0
slope: 9.0, yintercept: 1.0, epsilon:0.0
slope: 9.0, yintercept: 2.0, epsilon:0.0
slope: 9.0, yintercept: 3.0, epsilon:0.0
slope: 9.0, yintercept: 4.0, epsilon:0.0
slope: 9.0, yintercept: 5.0, epsilon:0.0
slope: 9.0, yintercept: 6.0, epsilon:0.0
slope: 9.0, yintercept: 7.0, epsilon:0.0
slope: 9.0, yintercept: 8.0, epsilon:0.0
slope: 9.0, yintercept: 9.0, epsilon:0.0
slope: 9.0, yintercept: 10.0, epsilon:0.0
slope: 10.0, yintercept: 0.0, epsilon:0.0
slope: 10.0, yintercept: 1.0, epsilon:0.0
slope: 10.0, yintercept: 2.0, epsilon:0.0
slope: 10.0, yintercept: 3.0, epsilon:0.0
slope: 10.0, yintercept: 4.0, epsilon:0.0
slope: 10.0, yintercept: 5.0, epsilon:0.0
slope: 10.0, yintercept: 6.0, epsilon:0.0
slope: 10.0, yintercept: 7.0, epsilon:0.0
slope: 10.0, yintercept: 8.0, epsilon:0.0
slope: 10.0, yintercept: 9.0, epsilon:0.0
slope: 10.0, yintercept: 10.0, epsilon:0.0
Total explored:131
New found:121

End of Korat Execution
Overall time: 0.15 s.
